5,Fiaschetti,Luigi,2002-12-14,2021-12-14,3282876089,LuigiFiaschetti@gmail.com,4,FD761LK,citroen,C4,benzina,2022-01-03,"0,2",2022-08-12,2022-08-19,890
5,Fiaschetti,Luigi,2002-12-14,2021-12-14,3282876089,LuigiFiaschetti@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-08-14,2022-08-23,418
6,Romani,Artemisia,2000-07-08,2022-07-08,3283063416,ArtemisiaRomani@gmail.com,1,GG456JF,audi,A3,benzina,2022-06-10,"0,2",2022-08-17,2022-08-25,450
6,Romani,Artemisia,2000-07-08,2022-07-08,3283063416,ArtemisiaRomani@gmail.com,3,GA356PO,bmw,I3,diesel,2022-07-09,"0,3",2022-11-15,,
6,Romani,Artemisia,2000-07-08,2022-07-08,3283063416,ArtemisiaRomani@gmail.com,1,GG456JF,audi,A3,benzina,2022-06-10,"0,2",2022-08-24,2022-09-02,765
7,Genovese,Biagio,1969-09-09,1989-09-09,3283837219,BiagioGenovese@gmail.com,5,GE606WD,hyundai,Kona,elettrica,2021-12-17,"0,25",2022-08-27,2022-09-04,1290
7,Genovese,Biagio,1969-09-09,1989-09-09,3283837219,BiagioGenovese@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-08-29,2022-09-05,1070
7,Genovese,Biagio,1969-09-09,1989-09-09,3283837219,BiagioGenovese@gmail.com,1,GG456JF,audi,A3,benzina,2022-06-10,"0,2",2022-08-31,2022-09-09,1890
8,Fiorentini,Martino,1985-08-10,2022-08-10,3282874714,MartinoFiorentini@gmail.com,4,FD761LK,citroen,C4,benzina,2022-01-03,"0,2",2022-09-03,2022-09-13,540
8,Fiorentini,Martino,1985-08-10,2022-08-10,3282874714,MartinoFiorentini@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-09-08,2022-09-16,642
8,Fiorentini,Martino,1985-08-10,2022-08-10,3282874714,MartinoFiorentini@gmail.com,4,FD761LK,citroen,C4,benzina,2022-01-03,"0,2",2022-09-13,2022-09-20,760
9,Calligaris,Filippo,1994-04-11,2017-04-11,3282875839,FilippoCalligaris@gmail.com,5,GE606WD,hyundai,Kona,elettrica,2021-12-17,"0,25",2022-11-16,,
9,Calligaris,Filippo,1994-04-11,2017-04-11,3282875839,FilippoCalligaris@gmail.com,2,EF221HU,peugeot,208,elettrica,2021-12-03,"0,25",2022-09-21,2022-09-27,500
9,Calligaris,Filippo,1994-04-11,2017-04-11,3282875839,FilippoCalligaris@gmail.com,2,EF221HU,peugeot,208,elettrica,2021-12-03,"0,25",2022-09-26,2022-10-01,502
10,Tomatini,Pasquale,1994-05-12,2020-05-12,3282863089,PasqualeTomatini@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-09-29,2022-10-05,1567
10,Tomatini,Pasquale,1994-05-12,2020-05-12,3282863089,PasqualeTomatini@gmail.com,4,FD761LK,citroen,C4,benzina,2022-01-03,"0,2",2022-10-04,2022-10-09,645
10,Tomatini,Pasquale,1994-05-12,2020-05-12,3282863089,PasqualeTomatini@gmail.com,2,EF221HU,peugeot,208,elettrica,2021-12-03,"0,25",2022-10-09,2022-10-13,1530
